date,SPY,XLF,MSFT,AAPL
20040701,-0.013883,-0.006998,0.002451,-0.007376
20040702,-0.000531,0.002819,-0.002096,-0.037771
20040706,-0.00877,-0.007027,-0.019251,-0.004183
20040707,0.002949,-0.002123,0.002855,-0.018094
20040708,-0.007129,-0.007447,-0.01637,-0.008226
20040709,0.002782,0,0.00796,-0.00365
20040712,0.000447,0.004645,0.001077,-0.029637
20040713,0.000716,0.001067,-0.010398,0.002745
20040714,-0.00304,-0.004618,0.019203,0.01232
20040715,-0.006456,-0.009279,-0.009243,0.113252
20040716,-0.000812,0.00036,-0.013994,-0.022168
20040719,-0.004245,0.00144,0.017103,-0.007143
20040720,0.0127,0.005034,0.013238,0.007194
20040721,-0.018452,-0.010018,0.019068,-0.018012
20040722,0.002738,0.001084,0.004851,0.001898
20040723,-0.008373,-0.005054,-0.033448,-0.030934
20040726,-0.001927,0.000363,0.022476,0.018241
20040727,0.009379,0.008342,-0.007676,0.037428
20040728,0.003006,0.003237,0.004923,-0.004934
20040729,0.004269,0.004303,-0.003499,0.011466
20040730,0.002442,-0.001428,0.000351,-0.009191
20040802,0.002075,0.006078,0.001053,-0.0235
20040803,-0.007743,-0.006041,-0.015778,-0.009183
20040804,-0.000091,0.002503,-0.000356,0.01598
20040805,-0.016334,-0.016405,-0.018888,-0.012583
20040806,-0.014299,-0.008702,-0.014166,-0.05129
20040809,0.001404,-0.001097,0.001474,0.017461
20040810,0.011402,0.013914,0.019868,0.040264
20040811,-0.000554,0.002167,-0.011183,-0.01618
20040812,-0.01091,-0.00973,-0.019336,-0.020638
20040813,0.001963,0.001092,0.005208,0.015476
20040816,0.010355,0.015267,0.002591,-0.001946
20040817,0.005633,0.005729,-0.001477,0.002924
20040818,0.010284,0.012104,0.015157,0.028183
20040819,-0.002908,-0.004221,-0.012382,-0.032451
20040820,0.007019,0.010244,0.00295,0.002931
20040823,-0.002534,-0.003497,0.004412,0.009091
20040824,0.001361,0.001754,0,0.027992
20040825,0.006797,0.008757,0.01138,0.034429
20040826,0,0.002431,-0.003993,0.048714
20040827,0.00315,0.001039,0.000729,-0.008944
20040830,-0.008255,-0.005882,-0.005827,-0.006696
20040831,0.005247,0.005221,0,0.010844
20040901,0.00189,-0.003809,0.003297,0.039722
20040902,0.011319,0.011123,0.008397,-0.005577
20040903,-0.004086,-0.000344,-0.018465,-0.012058
20040907,0.0066,0.012036,0.009222,0.015044
20040908,-0.002481,-0.007475,-0.003655,0.016499
20040909,-0.000888,-0.001027,0.000734,-0.017882
20040910,0.005156,0.004798,0.007698,0.004762
20040913,0.003273,-0.002729,-0.00873,-0.007806
20040914,0.002028,0.001368,0.006972,-0.00281
20040915,-0.007566,-0.003757,-0.009111,-0.008171
20040916,0.003014,0.005142,0.002574,0.03267
20040917,0.004232,0.002335,0.009171,0.021733
20040920,-0.00601,-0.010263,0,0.015347
20040921,0.004357,0.008296,-0.009088,0.007955
20040922,-0.012482,-0.018169,-0.005136,-0.028677
20040923,-0.005379,-0.010126,0.008481,0.00948
20040924,0.004597,0.00388,-0.002194,0.000537
20040927,-0.00637,-0.004919,-0.003664,0.006436
20040928,0.004786,0.003884,0.002942,0.013589
20040929,0.005032,0.003517,0.011368,0.016824
20040930,-0.000715,-0.002454,0.002538,0.00181
20041001,0.016911,0.016866,0.0217,-0.002065
20041004,0.001672,0.001382,-0.004602,0.003103
20041005,0.000527,-0.005521,0.009246,0.014952
20041006,0.006321,0.007287,0.005285,0.032258
20041007,-0.010208,-0.002756,-0.012618,-0.025098
20041008,-0.008286,-0.003454,-0.00639,-0.014134
20041011,0.004089,0.002773,0.002501,-0.012033
20041012,-0.003895,-0.000691,-0.001069,-0.007774
20041013,-0.008798,-0.006572,0,0.03813
20041014,-0.008069,-0.024373,-0.008206,0.131572
20041015,0.005604,0.001428,0.006835,0.011561
20041018,0.003775,0.004277,0.015005,0.049451
20041019,-0.008417,-0.016679,-0.008096,-0.006911
20041020,-0.001987,-0.005052,0.018417,0.001054
20041021,0.006515,-0.000725,-0.004843,0.009901
20041022,-0.011237,-0.005445,-0.028711,-0.011055
20041025,-0.001182,-0.000365,-0.003965,0.002953
20041026,0.015292,0.022271,0.009772,0.008833
20041027,0.012014,0.015,0.008961,0.048572
20041028,0.003012,0.005278,-0.004973,0.037575
20041029,-0.000177,0.0014,-0.001428,0.004024
20041101,0.002739,0.003146,0.003933,0.000954
20041102,0.000352,0.004181,0.005698,0.020019
20041103,0.012594,0.005899,0.008144,0.033832
20041104,0.013655,0.016902,0.018616,-0.015549
20041105,0.006263,-0.002035,0.01069,0.004959
20041108,-0.00145,-0.00136,-0.001023,-0.006213
20041109,-0.001964,-0.001021,0.016735,-0.006068
20041110,0.00077,0.002726,-0.001344,0.012951
20041111,0.007609,0.009514,0.008409,0.010046
20041112,0.007891,0.004039,-0.000334,0.003617
20041115,0.00245,0.003017,0.016683,-0.004685
20041116,-0.007159,-0.008356,-0.009858,-0.005521
20041117,0.005938,0.002359,0.001844,-0.000637
20041118,0.001349,-0.002354,-0.003681,0.008925
20041119,-0.011117,-0.012808,-0.007758,-0.003972
20041122,0.004769,0.005804,-0.007818,0.112017
20041123,0.001526,0.002376,-0.004503,-0.001304
20041124,0.00237,0.004064,0.004146,0.045373
20041126,-0.000844,0.000675,-0.001501,0.007806
20041129,-0.004479,-0.004719,0.006391,0.060263
20041130,0.000679,-0.001016,0.001494,-0.02031
20041201,0.011367,0.019661,0.016412,0.011037
20041202,0.000839,-0.001662,-0.005872,-0.038059
20041203,-0.00067,-0.000333,0.005168,-0.038798
20041206,-0.000335,-0.000666,0.003672,0.049458
20041207,-0.009311,-0.008333,-0.009513,-0.043934
20041208,0.005843,0.002689,0.010713,0.006201
20041209,0.003536,0.005364,-0.004752,0.01122
20041210,0.001007,0.001667,-0.005509,0.018128
20041213,0.008715,0.006658,0.006278,-0.003684
20041214,0.003489,0.003307,-0.000734,0.005854
20041215,0.000745,0.005274,-0.004407,-0.000459
20041216,-0.000579,-0.006885,0.001844,0.020472
20041217,-0.006639,-0.003061,-0.007364,-0.024116
20041220,0.000251,-0.001666,-0.000371,-0.034928
20041221,0.007701,0.013017,0.004453,0.015466
20041222,0.002409,0.005601,-0.003694,0.000942
20041223,0.000746,0.001966,0.001483,0.004078
20041227,-0.00207,-0.005232,-0.005924,-0.013279
20041228,0.005476,0.004602,0.003724,0.016149
20041229,0.001485,-0.002291,-0.001855,0.004051
20041230,-0.001895,0.001312,-0.005204,0.005587
20041231,-0.002146,0,-0.001495,-0.006173
20050103,-0.004716,-0.003603,0.000749,-0.017236
20050104,-0.013051,-0.009533,0.00374,0.01027
20050105,-0.006064,-0.001659,-0.002235,0.008758
20050106,0.005084,0.004987,-0.00112,0.000775
20050107,-0.001433,-0.005293,-0.002991,0.072812
20050110,0.004728,0.000998,0.004874,-0.004188
20050111,-0.006891,-0.004319,-0.002612,-0.063805
20050112,0.0033,-0.001335,0.001871,0.013941
20050113,-0.008012,-0.009689,-0.019044,0.0663
20050114,0.005271,0.003374,-0.00571,0.005731
20050118,0.010403,0.015804,0.007657,0.00641
20050119,-0.010463,-0.00993,-0.012918,-0.010899
20050120,-0.00609,-0.007355,-0.004619,0.0083
20050121,-0.006128,-0.005052,-0.008121,0.000426
20050124,-0.001969,0.000338,0.00078,0.00383
20050125,0.002831,0.000677,0.013635,0.018231
20050126,0.002995,0.004735,-0.000384,0.002776
20050127,0.001706,-0.005049,0.003845,0.005398
20050128,0,-0.001353,0.002681,0.018447
20050131,0.006216,0.011856,0.00382,0.03947
20050201,0.006347,0.010713,0.004186,0.008192
20050202,0.003027,0,0.002653,0.027086
20050203,-0.002599,-0.004637,-0.010582,-0.022856
20050204,0.010676,0.01198,0.005348,0.013237
20050207,-0.001331,0.000987,-0.006079,0.001268
20050208,0.001166,-0.003942,0.003058,0.024829
20050209,-0.007487,-0.002639,-0.006479,-0.0267
20050210,0.003604,0.002976,-0.000384,-0.004826
20050211,0.008602,0.007913,-0.003454,0.036371
20050214,-0.000745,-0.001636,0.00154,0.042113
20050215,0.003729,0.002294,0,0.044665
20050216,0.00066,-0.006865,-0.005399,0.019455
